text,likes,comments,shares
"The image was engraved by hand on a speck of gold.

BBC.COM
'World's smallest' Nativity scene goes on display",1030,141,114
"US President Joe Biden indicated he would be ready to meet Vladimir Putin.

BBC.COM
Russia demands recognition of Ukraine annexations before talks",2138,1600,114
"The son of Stewart Rhodes, the founder of US militia group Oath Keepers, spent years plotting to help his family escape from his father's control.

Now that the militia leader has been convicted of seditious conspiracy, the family is focused on rebuilding their lives.

Click here to read more about how Stewart Rhodes' family planned their escape.
https://bbc.in/3Vt95BE",343,109,112
"""The ideal candidate is highly motivated and somewhat bloodthirsty.""

BBC.COM
New York City offers six-figure salary for new rat catcher",2909,335,112
"""Whoever is behind this, it must stop immediately,"" said the head of the UN nuclear watchdog. ""You're playing with fire!""

BBC.COM
Explosions at occupied nuclear site in Ukraine",1000,418,112
"There was also a shock result in the other Group D game between Tunisia and France.

BBC.COM
Australia reach World Cup knockouts for first time since 2006",5114,357,111
"A murder investigation has been launched.

BBC.COM
Two boys, 16, die after being stabbed a mile apart in London",1273,683,111
"Russia has said it is not to blame for a blast in Poland that killed two people and US President Joe Biden has said it is ""unlikely"" the missile was launched from Russia.

BBC.COM
Russia denies responsibility for Poland missile blast",673,636,111
"Officers said the service was ""not there to be called for trivial matters"".

BBC.COM
Man who made 68 calls to UK emergency services found drunk in bed",2661,426,111
"A torrent of mud fell on to the highway in the state of Paran谩, hitting at least 16 vehicles, authorities said.

BBC.COM
Deadly landslide engulfs motorway in Brazil",872,86,110
"Former footballers are three-and-a-half times more likely to die from brain disease, research has shown.

BBC.COM
Scottish football to ban heading the day before and after matches",1289,523,110
"Searches for the word on its website spiked by 1,740% in 2022, the company said.

BBC.COM
Word of the year chosen by dictionary publisher",2766,100,107
"Ngozi Fulani was repeatedly asked by royal aide Lady Susan Hussey where she was ""really"" from.

BBC.COM
Buckingham Palace race incident was abuse, says charity boss",662,3400,107
"""It's a similar pathway that gets activated with sex and other things that are rewarding to our brains.""

BBC.COM
Why music can give you chills or goosebumps",878,83,107
"The UK's chancellor has announced tax rises and spending cuts worth billions of pounds, aimed at mending the nation's finances.",460,349,106
"The South African-born actor grew up speaking only Afrikaans before learning English aged 19.

BBC.COM
Charlize Theron condemned for saying Afrikaans is dying language",2176,1100,106
鈥淚t鈥檚 cold at night and wet here as if it鈥檚 a fridge.鈥?Many Ukrainians have lost their homes and are forced to live in dark basements as Russian shelling continues.,311,234,106
"鈥淚 make everything small.鈥?
Hannah Lemon can't afford to buy home in London, so she has built herself a miniature version - with delicate houseplants and even a bathtub. 馃泚馃彔

(Via BBC London) https://bbc.in/3hr9fe7",967,79,105
"How do people in Qatar feel about their country hosting the World Cup?

BBC.COM
'My small country is now the centre of the world'",4486,2500,104
"When journalists鈥?conflict reporting in Ethiopia is restricted, how do you find out what happened?

BBC Reality Check investigates clues from a video showing a massacre on unarmed men in the country.
https://bbc.in/3TLX7li",466,104,103
"These were the chaotic scenes as a session of parliament in Sierra Leone descended into a brawl.

https://bbc.in/3XtvZKX",583,133,102
"Hundreds have been rushed to hospital and rescue efforts are underway to free those trapped under collapsed buildings.

BBC.CO.UK
Indonesia quake death toll rises to at least 162",579,108,100
"""If having cancer wasn't bad enough... I can't even watch the show now.""

BBC.COM
TV host Jonnie Irwin says A Place in the Sun bosses axed him after cancer diagnosis",5500,715,99
"Germany's hastily assembled strategy to manage without Russian gas appears - for now - to be working.

BBC.COM
How Germany ended reliance on Russian gas",2100,433,99
"""Anyone who has had direct contact with the body should speak to officers or seek medical advice immediately.""

BBC.COM
Potentially hazardous substances on body found in UK street",953,279,98
"""It's like being on a sinking ship.""

Single dad Samuel lives in a one bedroom flat with his two young sons, and sometimes has to eat his children鈥檚 leftovers for dinner.",667,258,97
"Research suggested babies born vaginally had double the level of protective antibodies produced after childhood vaccines.

BBC.COM
How you're born alters vaccines' power, study suggests",945,199,97
"""We had moments of hope and moments of thinking we're never going to see her again.""

BBC.COM
Couple camped in woods for a week to find lost dog spooked by firework",3800,204,97
"Marcus Rashford inspired England to victory but it was despair for Wales as they went out of the tournament.

BBC.COM
England through to last 16 but Wales out of World Cup",5231,635,97
"The spacecraft travelled further from Earth than any previous vehicle built for astronauts.

BBC.COM
Nasa's Orion capsule breaks distance record",1844,369,97
"""I just wanted to do something nice for people to see.""

BBC.CO.UK
Home in UK transformed into real life gingerbread house",2518,164,95
"""This adventure is going to be so wild and so fun, I cannot wait to sail the universe with Millie,"" said the new Doctor Ncuti Gatwa.

BBC.COM
Millie Gibson revealed as new Doctor Who companion",4500,407,95
"Joe Biden spoke of the importance of avoiding ""conflict"" between the US and China.

BBC.CO.UK
US President Biden meets Chinese President Xi",794,287,94
"Fifa are investigating a number of teams over chants and jeers from fans.

BBC.COM
The football fans in trouble with Fifa",2285,592,94
"The demand comes after the three men were found guilty of shooting down MH17 over eastern Ukraine, killing all 298 on board.

BBC.COM
Australia asks Russia to hand over men who downed MH17 airliner",2000,625,93
"Emma Raducanu shot to fame when she won the US Open title as an 18-year-old qualifier.

BBC.COM
Tennis star receives honour from King Charles",4055,781,93
"Gotta catch 'em all. 馃

BBC.COM
World's largest Pok茅mon collection fails to sell",793,416,93
"There's been a 43% decline in a large Ad茅lie penguin population in Antarctica. Scientists now believe too much ice is to blame.

https://bbc.in/3EzLecI",578,82,92
"Canada is betting big on immigration to fill the gap in its economy, but not everyone is on board with the plan.

BBC.COM
Why Canada wants to bring in 1.5m immigrants by 2025",902,387,92
"鈥淭he culture in Cuba is in mourning for the death of Pablo Milan茅s.""

BBC.COM
Cuban music legend Pablo Milan茅s dies aged 79",1100,114,92
"Logan Mwangi, 5, was the victim of a ""horrifying"" attack by his family before his body was dumped in a UK river.

BBC.COM
Doctors failed to raise concern over Logan Mwangi's injuries, review finds",3100,422,92
"鈥淧lease listen to the last wish of a mother who has lost her child.鈥?
K-Pop star Lee Ji Han's mother has spoken of her grief after he was killed in the Seoul crush that left 158 people dead.",1000,67,92
"""We all deserve to be proud of our ethnicity and where we are from.""

BBC.COM
Dua Lipa is granted Albanian citizenship",3904,352,88
"Sinda ""will be greatly missed,"" staff said.

BBC.COM
Tiger killed 'instantly' during breeding attempt at safari park",1112,343,87
"William, Prince of Wales, asked his toughest question - who will he support during the World Cup, England 馃彺鬆仹鬆仮鬆仴鬆伄鬆仹鬆伩 or Wales 馃彺鬆仹鬆仮鬆伔鬆伂鬆伋鬆伩?",475,102,87
"Residents in thousands of Beijing tower blocks have been ordered to remain indoors as workplaces shut down.

BBC.COM
Record number of Covid cases in China as virus surges nationwide",911,320,87
"The former UK health secretary, who faced criticism joining the show, is one of three finalists.

BBC.COM
Matt Hancock could be crowned winner of I'm A Celebrity",2395,2300,86
The scale of damage to homes and cars has been revealed after a mudslide hit the Italian island of Ischia.,384,43,86
"It has sent some incredible pictures back.

BBC.CO.UK
Nasa's Orion capsule heads home after Moon fly-by",1923,170,86
"""The sky is no longer a limit when it comes to possibilities offered by super-fast, high-capacity connectivity.""

BBC.COM
EU to allow calls on flights",806,203,86
"""He was a little bit overwhelmed when he first came out, but he was excellent.""

BBC.COM
Comedian Peter Kay moved to tears in live tour comeback",4125,326,86
"The stolen gold coins were unearthed during a 1999 archaeological dig, and are considered to be the biggest discovery of Celtic gold in the 20th century.

BBC.COM
Gold coins worth 鈧?.6m stolen in nine-minute heist from German museum",1500,194,86
"""Just one of those Thanksgiving miracles.""

BBC.COM
Cruise passenger rescued after 15 hours in the sea",1266,166,84
"The club said they were taking the ""appropriate steps"" in response to the interview.

BBC.COM
Manchester United release statement on Ronaldo interview",2700,463,84
"How one woman is fighting to protect Mumbai's urban forest, where an indigenous community lives alongside leopards.

https://bbc.in/3tW6h42",547,19,83
"The measure permits police to deploy robots equipped with explosives in extreme circumstances.

BBC.COM
San Francisco to allow police 'killer robots'",395,250,83
"""The Squirrel International Football Association, SIFA World Cup.""

BBC.CO.UK
Man builds World Cup squirrel course in back garden",1200,112,82
"She has resigned as a Buckingham Palace aide over comments made to a black British charity boss.

BBC.COM
Who is Lady Susan Hussey?",726,1900,81
"Joules said it plans to appoint administrators in a move that could put about 1,600 jobs at risk.

BBC.COM
UK clothing group Joules nears collapse",1000,386,80
"The cruise ship was caught in a storm as it sailed towards Argentina on Tuesday.

BBC.COM
Passenger killed after 'rogue wave' hits cruise ship",881,140,80
"""Lego brings people together and encourages people of all ages to learn and pray together.""

BBC.COM
Baby boy christened in UK's 'first Lego baptism'",592,291,79
"""They are, after all, our future.""

BBC.COM
'Not enough' done to help early development of children, says Kate",1544,239,79
"""The people have spoken,"" said Twitter's new owner, after running a poll in which users narrowly backed the move.

BBC.COM
Elon Musk lifts Donald Trump's Twitter ban",954,733,78
"Mini milks, choc ices, a 99 with a flake - and a chat about loss.

BBC.COM
How ice cream is helping people talk about grief",2188,50,77
"The Denmark midfielder collapsed during his country's Euro 2020 match against Finland In June 2021.

BBC.COM
Christian Eriksen makes major international tournament return after cardiac arrest",6400,163,77
"What will one man's unprecedented status as both top influencer and chief executive mean for Twitter?

BBC.COM
Elon Musk set to become number-one influencer on Twitter",1226,1700,76
"Residents have smashed down barriers designed to enforce social distancing and large street protests have taken place.

BBC.COM
Why 'shocking' Covid protests are a huge challenge for China's leaders",1522,304,76
"""We have always been clear we need change to survive.""

BBC.COM
Royal Mail asks to stop Saturday letter deliveries",844,399,75
"Three deaths have been reported in Beijing, where cases have been rising despite the country's strict zero-Covid policy.

BBC.COM
China reports first Covid deaths in six months",761,272,75
"Iran has complained to Fifa after the Islamic Republic emblem was removed.

BBC.COM
USA changes Iran's flag on World Cup social media posts",1056,753,75
"Critically endangered silverback gorilla Kiburi has made a 1,903-mile journey from Tenerife to London for an international breeding programme. 馃",526,108,75
"Oliver has been knocked off the top spot. 馃懚

BBC.COM
What were the most popular baby names in 2021?",949,402,74
"Since the tournament began, fans have said they have been prevented from wearing rainbow-coloured clothing at matches.

BBC.COM
Rainbow-coloured items 'allowed' at World Cup stadiums",1155,1700,73
"""My mum, dad, two brothers, nan, my nan's partner and my best friend was there for the burial.""

BBC.COM
Woman finds dog after thinking she had buried her",2100,361,73
"Help with energy costs has been extended but at a less generous level.

BBC.COM
Typical UK household energy bill to rise to 拢3,000 a year in April",957,793,73
"鈥淚t鈥檚 the best, best thing I鈥檝e ever seen in my life.鈥?
UK Comedian Peter Kay has returned to live stand-up for the first time in 12 years - what did the audience think?",1161,201,73
"His comrades nicknamed him The Giant Sloth.

BBC.COM
The rogue soldier who created the SAS",1832,87,73
"The multiple-award-winning actresses were detained on Sunday on the orders of Iran's prosecutor's office, the country's state-run media reports.

BBC.COM
Two prominent Iranian actresses arrested - state media",606,119,72
"After a decades-long quest to become prime minister, Mr Anwar has risen to the top job.

BBC.COM
Anwar Ibrahim sworn in as Malaysian PM after post-election deadlock",748,55,72
"When Wales qualified for the World Cup, Bethany Evans decided going to Qatar would be too expensive - so she suggested Tenerife as an alternative as ""a bit of a joke"".

(Via BBC Wales News)",662,114,72
"""They defend us and I'm here to defend them - and not to let them die.""

BBC.COM
Ukraine's secret weapon - the medics in the line of fire",2300,208,71
"People in the capital Honiara have reported significant shaking and tremors for around 20 seconds, but no injuries or deaths have been reported yet.

BBC.COM
7.0 magnitude earthquake strikes Solomon Islands",706,42,71
"There's mounting evidence that some dinosaurs lived among snow and ice.

BBC.COM
The polar dinosaurs revealing ancient secrets",649,83,70
"The skeleton - which was expected to fetch up to $25m (拢21m) at auction - has been withdrawn after doubts were raised over where parts of it had come from.

BBC.COM
T. rex auction cancelled after skeleton doubts raised",965,152,70
"The drug marks a ""new era"" in treatment, tackling the root cause of the condition for the first time, experts said.

BBC.COM
Game-changing type 1 diabetes drug approved in US",557,58,70
"""There isn't a pony in the country that is better loved.""

BBC.COM
Late Queen's favourite riding pony named 'horse of a lifetime'",1861,155,70
"Pupils were ""sanctioned"" for the ""totally unacceptable"" behaviour, Eton College said.

BBC.COM
UK private schoolboys 'booed' visiting state schoolgirls",855,459,69
"""A living legend.""

BBC.COM
L锘縠n Goodman stands down from Dancing With The Stars",1400,122,69
"She is the most powerful Democrat in the US Congress and the first woman to serve as speaker of the House.

BBC.COM
Nancy Pelosi to stand down as US House Democrat leader",999,360,69
"The family now face a race against time to make memories.

BBC.COM
Brothers making memories with family before they lose vision",1133,242,69
"""We examine the camels to check that they've not had cosmetic surgery.""

BBC.CO.UK
Camels battle it out in 'World Cup' contest in Qatar",742,185,69
"At least seven were killed in a new Russian missile barrage, days after an even bigger bombardment.

BBC.COM
10 million without power in Ukraine after Russian strikes, says Zelensky",920,848,69
"BlockFi had received a rescue deal from FTX earlier this year when the values of cryptocurrencies plunged.

BBC.COM
Crypto firm BlockFi files for bankruptcy after FTX collapse",563,205,69
"""As a family we're going to be forever in Dan's debt"" 鉂わ笍

BBC.COM
Postman helps save collapsed pensioner's life after performing CPR",2509,157,68
"""The cost of living crisis, for most people, it鈥檚 'Oh we just won鈥檛 go on holiday this year' but for us it鈥檚 our son鈥檚 life.""",386,76,68
"""My film is bound in some moments to feel out of date.""

BBC.COM
Love Actually director Richard Curtis 'uncomfortable' with movie's lack of diversity",3365,1300,68
"Humans have domesticated a surprising number of insects. 馃

BBC.COM
How humanity created 'sky puppies'",510,24,67
"Experts believe the discoveries dating back more than 2,000 years could highlight changes in diet and gifting.

BBC.COM
Evidence of Iron Age feast discovered during UK roadworks",3344,128,67
"""I have never seen anything like this in my life in China,"" the young woman told the BBC. ""Finally we can say something.""

BBC.COM
A new protest generation emerges in China",1396,274,67
"In his first foreign policy speech, the British prime minister said the UK needs to show ""robust pragmatism"" towards global competitors.

BBC.COM
Golden era of UK-China relations is over, says Rishi Sunak",579,462,67
"Rather than remove Prince Andrew and Prince Harry from the list, the proposal is to widen the pool of eligible royals.

BBC.COM
Princess Anne and Prince Edward to become stand-ins for King Charles",2900,495,66
"Police believe the Sydney man attacked 31 women, including a teenager, in the 1980s and 1990s.

BBC.COM
'Bondi Beast' serial rapist identified after almost 40 years",1900,164,66
"He came to power after the 1989 Tiananmen Square protests.

BBC.COM
China's former leader Jiang Zemin dies aged 96",293,168,66
"Millions of Ukrainians remain without power and water in freezing temperatures after Russian strikes.

BBC.COM
Nato pledges Ukraine weapons and power grid support",681,996,65
"Videos show hundreds of workers marching, with some confronted by people in hazmat suits and riot police.

BBC.COM
Protests erupt at giant iPhone factory in China amid Covid and pay row",1100,98,65
"Mistakes at the Immensa Health Clinic in England led to ""increased numbers of [hospital] admissions and deaths"", the report concluded.

BBC.COM
Private UK lab errors may have led to 23 Covid deaths, report says",730,211,64
"Can Egypt protect the Red Sea鈥檚 鈥榮uper coral鈥?

Leaked documents have revealed how a rare climate-change resistant reef is being flooded with toxic wastewater.",500,42,64
"Jackie went to the doctors the day after seeing Irish comic Ed Byrne's stand-up show.

BBC.COM
'Stand-up comic's joke helped save my life'",3875,50,64
"The three young women and a young man were probably sleeping in their rental home when they were attacked, a coroner said.

BBC.COM
University of Idaho students stabbed to death in their beds",3200,209,64
"The conspiracy theorist was recently told to pay almost $1.5bn (拢1.2bn) for claiming the 2012 school shooting was a hoax.

BBC.COM
Alex Jones files for bankruptcy after Sandy Hook verdict",1584,575,64
"""To go from crying all day to start in a World Cup game was extremely tough.""

BBC.COM
Wales' Neco Williams played World Cup game after suffering family bereavement",5000,80,63
"The comments were made to a charity boss at a reception held by the Queen Consort.

BBC.COM
Buckingham Palace staff member resigns over 'unacceptable comments'",468,803,63
"A family including a newborn baby are reportedly among the missing.

BBC.COM
Landslide tears through homes on Italian island",517,119,63
"鈥淛ay would like to let everyone know how thankful he is for the care he received.""

BBC.COM
Jay Leno released from hospital after being burned in fire",2495,186,63
"European teams at the World Cup had been accused of having no ""backbone"" after they decided against wearing the armband.

BBC.COM
Netherlands captain hits back at criticism over OneLove armband row",2900,1500,63
"A suspect, whose nationality has not been revealed, has been detained in Florida.

BBC.COM
Four Chinese nationals killed at US cannabis farm",875,168,62
"Operation Claw-Sword targeted sites in Syria and Iraq a week after a deadly bombing in Istanbul.

BBC.COM
Turkey launches air-raids on Kurdish targets",1100,260,62
"""It's supposed to be the safest place to cross, but people young and old are scared of it.""

BBC.COM
'I don't want to see someone die on my doorstep'",1300,325,62
"The current wave of bird flu is the worst ever experienced in Europe and the US.

BBC.COM
Why is bird flu so bad this year?",387,281,62
"""That capital would be available the instant that the Russian forces have been removed from the homelands of Ukraine.""

BBC.COM
Billionaire launches $25bn fund to help rebuild Ukraine",886,246,62
"The border around Pheasant Island is the only one in the world affected by time.

BBC.COM
The island that switches nationality every six months",1200,54,61
"""YouTube now earns me more than 40 cattle... who knew?""

BBC.COM
Farmer now makes more money on YouTube than from dairy herd",793,81,61
"Since 2006, passengers taking liquid in their cabin baggage have been restricted to clear plastic bags holding no more than 100ml.

BBC.COM
UK airports could ditch luggage liquid rules by 2024",1000,144,61
"The former US President has a strong position as a presidential candidate - but there are a few things counting against him.

BBC.COM
Six ways running for president will be harder for Trump this time",1100,458,60
"The move could signal a return to the hard-line practices seen under the previous Taliban rule in the 1990s.

BBC.COM
Three women among dozen publicly flogged in Afghanistan football stadium",797,457,60
"The all-white rule has been relaxed to help relieve a ""potential source of anxiety"" for players on their period.

BBC.COM
Wimbledon to let women wear dark undershorts",1600,364,60
"The Colombian star, who features on the World Cup anthem, was asked about Qatari human rights issues on live TV.

BBC.CO.UK
Maluma walks out of Qatar human rights interview",1500,1100,60
"鈥淢y whole life was a war for survival.鈥?
A martial arts champion has spoken about his journey from begging in North Korea to winning a South Korean kickboxing title.",508,26,59
"""You just can't really go to a Welsh football game without it.""

BBC.COM
Why do Wales football fans wear bucket hats?",1388,564,59
"The hashtag ""RIPTwitter"" was trending as staff leave in their droves.

BBC.COM
Is this really the end of Twitter?",1100,551,59
"Virginia McLaurin lived her dream of not just seeing the first black president, but dancing with him at the White House.

BBC.COM
Woman who danced with Obamas dies at 113",1300,157,59
"It has been struck 33 times in the last year.

BBC.COM
Bridge named most-bashed in Britain",866,272,59
"Half of those produced for Christmas were culled or died, an industry chief said.

BBC.COM
UK's free range turkey supplies hit by bird flu",560,451,58
"Kim Kardashian was pulled into a row over the fashion house's latest advert after a heavy backlash.

BBC.COM
How did teddy bears cause trouble for Balenciaga?",1327,368,58
"Children have been killed after a school collapsed during an earthquake in West Java, Indonesia.",625,41,58
"Mohammed bin Salman has immunity against a lawsuit filed by the murdered journalist's fianc茅e due to his new role as prime minister.

BBC.COM
Saudi leader given US immunity over journalist Khashoggi's killing",528,282,58
"There had been suggestions Mr Johnson would stand down as an MP after after he was ousted as prime minister.

BBC.COM
Boris Johnson announces plans to stand at next election",833,694,58
"The girl, believed to be named Kim Chu-ae, joined Kim Jong-un at a ballistic missile test on Friday.

BBC.COM
North Korea's leader reveals his daughter in rare appearance",722,253,57
"""They're able to access things that emotionally they're just not equipped or sophisticated enough to know how to process.""

BBC.COM
Parents feel powerless over children's social media use, says actress Kate Winslet",755,161,57
"The independent lawyer will lead inquiries into how the US former president handled classified documents and his alleged role in the Capitol riot.

BBC.COM
War crimes expert to oversee criminal investigations into Donald Trump",1100,488,56
"Nato's Secretary General Jens Stoltenberg said ""accidents happen"" in war but the ultimate blame lies with Russia.

BBC.CO.UK
Poland strike was 'most likely from Ukrainian air defence', says Nato chief",766,500,56
"The price cap will ""prevent Russia from profiting from its war of aggression against Ukraine"", Western allies said.

BBC.COM
Price cap on Russian oil will hit Putin immediately, says US",1023,694,56
"Nurses in England, Wales and Northern Ireland are to strike for two days next month in what is set to be their biggest walkout in the NHS's history.

BBC.COM
Nurses to strike for two days before Christmas",587,375,56
"West has not yet commented on the claims, including that he reportedly showed staff explicit images of his ex-wife Kim Kardashian.

BBC.COM
Adidas investigates after claims of Kanye West's 'toxic' behaviour",1800,379,56
"The UK prime minister met Ukraine's President Volodymyr Zelensky to ""confirm continued UK support"" in the war against Russia, a No 10 spokesperson said.

BBC.COM
Rishi Sunak makes first visit to Ukraine as UK PM",1800,782,56
"""If you identify strongly with your future self, you are more willing to look after your body.""

BBC.COM
How thinking about 'future you' can build a happier life",426,96,55
"The results amount to the best US midterm performance for a sitting party in 20 years.

BBC.COM
What does the US Senate win mean for Joe Biden and the Democrats?",852,265,55
This is the moment a disqualified driver crashed a stolen car into a bus stop.,920,216,55
"The verdicts were handed down by courts in Tehran amid a fresh wave of anti-government unrest.

BBC.COM
Four more protesters sentenced to death in Iran",554,273,54
"""It was amazing because he is my idol.""

BBC.COM
Boy with cerebral palsy inspired Jack Grealish goal celebration at World Cup",3000,92,54
"""I can't describe how hard it is. Sometimes you feel like screaming loudly. I feel hopeless.""

BBC.COM
Afghanistan: Parks become latest no-go areas for women in Kabul",363,301,53
"The company was once valued at $9bn and claimed its technology could revolutionise diagnosing disease.

BBC.COM
Theranos founder Elizabeth Holmes jailed for fraud",875,128,53
"Authorities hope to reduce the number of accidents on Dutch roads involving people using the drug.

BBC.COM
Netherlands to ban laughing gas from January",734,171,53
"""All the pictures and memories of my dad are gone and I'll never get them back. It's all been destroyed.""

BBC.COM
Father's ashes thrown out in flat clearance mix-up",770,376,53
"The Kremlin has not commented on reports that the mothers at the meeting were pro-Putin and carefully chosen.

BBC.COM
President Putin tells Russian soldiers' mothers he shares their pain",263,417,52
"The 'I Want To Live' project has said it is getting up to 100 enquiries a day from troops invading Ukraine.

BBC.COM
The surrender hotline for Russian soldiers",282,261,52
"She was due to dance to Chaka Khan's I Feel For You.

BBC.COM
Kym Marsh to miss Strictly Come Dancing this weekend",2300,374,52
"""Things we'd expect to flower into October, like fuchsias and salvias, are still flowering now and show no signs of stopping.""

BBC.COM
UK seeing 'second spring' due to mild November",669,112,52
"Critics of the subscription model have said the move is ""unsurprising but dispiriting"".

BBC.COM
Mercedes-Benz to introduce acceleration subscription fee",579,207,51
"""I feel really, really lucky.""

BBC.COM
'I met the love of my life on Twitter'",1108,356,51
"The US basketball player is believed to be in a remote jail 500km (310 miles) south-east of Moscow.

BBC.COM
What awaits Brittney Griner in Russian penal colony?",2300,1300,51
"""We're told to just 'focus on the football', but there are things in life that are more important.""

BBC.COM
'Being a gay fan at Qatar World Cup is so taboo we're invisible'",1159,1900,51
"""My mother didn't raise a hypocrite. You can call me a lot of things, but not that.""

BBC.COM
Brendan Fraser won't attend Golden Globes if invited",4900,150,51
"Mariupol is occupied by Russia, but the exiled Ukrainian mayor is still making plans.

BBC.COM
We will rebuild, vows mayor of flattened Ukraine city",1500,252,51
"It comes after he apologised for ""disrespectful comments"" he made about contestants.

BBC.COM
Britain's Got Talent breaks silence on David Walliams' future as judge",3077,499,51
"""Right now, I think his legacy is done...but if you asked me in three or four years' time, I might say something different.""

BBC.COM
Manchester United fans react to Cristiano Ronaldo's departure",4000,415,50
"""As tragic as this incident is... it could have been much, much worse but for these heroic actors.""

BBC.COM
Colorado club-goer used gunman's weapon to subdue him",398,139,50
"""It is a good excuse to build team spirit within the office and talk about their different nationalities.""

BBC.COM
Will you be allowed to watch the World Cup at work?",434,409,50
"""This is not about flags and footprints... it's about building a sustainable presence on the Moon.""

BBC.COM
How Nasa's Artemis I rocket is making history",885,307,50
"Leaders have discussed abandoning the founding principles of the service by having a ""two-tier"" health system.

BBC.COM
NHS chiefs in Scotland discuss having wealthy pay for treatment",481,445,50
"A winter with millions remaining without power could lead to ""the darkest days of the war so far"" for the country's health system, an official said.

BBC.COM
Millions of lives under threat in Ukraine this winter, says World Health Organization",712,357,50
"""There was definitely nothing on the paper, but we know what's on there.""

BBC.COM
Blank paper becomes the symbol of China's protests",529,135,50
"Thousands of young Indians are suddenly staring at an uncertain future due to mass layoffs by tech companies and start-ups. But many are refusing to stay quiet about it.

BBC.COM
Byjus, Meta, Twitter: India tech workers fight back amid mass layoffs",485,108,50
"""I see myself as a formula... it's like being an Excel spreadsheet where I work out what to do and say by calculating the possible outcome.""

BBC.COM
What it's like living as a female psychopath",333,103,49
"The rapper praised Nazi leader Adolf Hitler during an interview with conspiracy theorist Alex Jones, on the same day as his suspension.

BBC.COM
Kanye West suspended from Twitter for 'inciting violence'",762,751,49
"Jyoti Bhatt - one of the most innovative modernist photographers in South Asia - documented rural Indian culture and the traditional ways of life and craftsmanship that are at risk of vanishing.

BBC.COM
The photographer who preserved rural Indian life",609,23,49
"Joe Biden's son is already under federal investigation, but has so far not faced any charges.

BBC.COM
House Republicans says 'top priority' to probe Biden family",990,734,49
"This year's World Cup has already seen some of the longest single halves since records began.

BBC.COM
Why is there so much added time at the World Cup?",1000,293,48
"Pope Francis said the ""cruellest"" troops were generally Chechens and Buryats.

BBC.COM
Russia hits out as Pope labels minority ethnic soldiers 'cruel'",527,362,47
"Mexico is the second-largest importer of corn in the world and much of it comes from the United States.

BBC.COM
Mexico's planned genetically modified corn ban 'deep concern' for US",527,166,47
"""The conditions in our country are not right and our people are not happy,"" Ehsan Hajsafi said before his nation's opening game against England at the World Cup.

BBC.COM
Iran captain voices solidarity with protests at home",1200,216,47
"""How many clubs would do this for their fans?""

BBC.COM
Football club in UK pays for hundreds of fans' holidays",670,86,47
"""We want to do better.""

BBC.COM
London museum closes 'racist, sexist and ableist' display",1058,459,46
"The children suffered burns to their bodies, including on their face, chest, lower abdomen and legs, reports said.

BBC.COM
Sydney primary school students injured after science experiment goes wrong",340,71,46
"""On one side of the world, there is the carnival that is the World Cup, on the other are rules not to visit public places for five days.""

BBC.COM
Chinese TV censors shots of maskless World Cup fans",755,71,46
"""I do look back four years and feel slightly uncomfortable.""

Football presenter Gary Lineker said the BBC should have spoken out more about human rights issues during the World Cup in Russia in 2018.",521,256,46
"India's football fans are spending a fortune to travel to Doha to watch the games and are putting up large cut-outs of players back home.

BBC.COM
World Cup 2022: How football fever is gripping cricket-crazy India",2700,149,45
"Rich nations will pay damages to countries worst-hit by climate change, but the final deal does not phase out all fossil fuels.

BBC.COM
Climate costs deal struck at COP27 but no fossil fuel progress",392,256,45
"Last year's number one, Tel Aviv, is now placed third.

BBC.COM
World's most expensive cities listed",424,108,45
"鈥淚'm not here to be your pretty woman DJ of the night.鈥?
Studies show less than 5% of the music tech industry are women, non-binary or trans. Saffron is trying to change that.

https://bbc.in/3gRGAPq",429,155,45
"Emma Corrin, who identifies as non-binary, says the best actor and actress categories should be merged into a single gender-free one.

BBC.COM
Oscars should be gender neutral, says The Crown star",1800,1300,45
"It was nicknamed the ""Answer to Blinken"" law, after the US Secretary of State Antony Blinken criticised it as a ""blow to freedom of expression"".

BBC.COM
Russia passes 'Answer to Blinken' gay propaganda law",306,287,44
"The royal couple will visit the US this week for an environmental prize.

BBC.COM
William and Kate make first international trip as Prince and Princess of Wales",1312,288,44
"The Twitter boss said he ""had no mercy"" for anyone using children's deaths for political gain.

BBC.COM
Elon Musk keeps conspiracy theorist Alex Jones off platform",1325,477,44
"The change was prompted by complaints about racist and stigmatising language linked to the virus's name.

BBC.COM
Monkeypox given new name by global health experts",321,420,44
"They were found guilty of a plot to stop US president Joe Biden from taking office after 2020 election.

BBC.COM
Two members of far-right militia guilty of US sedition",1182,458,44
"The man was taken to hospital on Friday after becoming unwell, the Home Office said.

BBC.COM
Migrant staying at Manston processing centre in UK dies",1400,895,43
"The streaming service - which holds the rights to the tournament - was blocked an hour before the opening ceremony.

BBC.COM
World Cup streaming service blocked in Saudi Arabia",9048,162,43
"The UK prime minister has also warned China poses threat to economic security as the world leaders' summit begins.

BBC.CO.UK
Rishi Sunak condemns Russia's 'barbaric' war as G20 gets underway",892,406,43
"Heartbreaking accounts emerge of victims' final moments before a landslide on the Italian island of Ischia.

BBC.COM
Woman phoned father as mudslide hit island home",537,56,43
"The region had experienced around 140 aftershocks since Monday's quake, said the West Java governor.

BBC.COM
Rescuers battle aftershocks as search for Indonesia earthquake survivors continues",563,16,43
